task_language;rider_ml_message
"""en""";"""Yes buy charged me more than 90 tl more"""
"""es""";"""Tengo una queja"""
"""es""";"""buena tarde conductor cancelo viaje me baje del carro a una cuadra de mi ubicacion inicial y me cobro el viaje por favor devolver a la brevedad"""
"""es""";"""Hola Hola Es la segunda vez que me toca con la misma conductora, la primera vez he tomado la moto y tenía una parada y me regresaba nuevamente a mi domicilio y la conductora lo hizo renegando. Ahorita estoy con mi familia estoy con mis tres hijos que son menores de edad y la conductora no quiso llevarme y se puso malcriada"""
"""es""";"""Gracias. Muy amables"""
"""ka""";"""მადლობა"""
"""en""";"""Hello, this car didn’t even pick me up but charged me 16 AED"""
"""hy""";"""barev dzez ertuxin popoxeci vor@ kazmec 1100dram bayc qartics qashel e @ndhanur 2400dram  xndrum em het knstacneq mnacord@"""
"""fr""";"""Je veux un Yango disponible"""
"""es""";"""No es la primera vez ya anteriormente otro conductor no quiso llevarme me colocó las siguientes siglas ( nln ) que significa?? Total falta de respeto"""
"""uz""";"""taksi chaqirdim lekin kelmadi, kartamdan pul yechib oldi, kompensatsiya qilinishni so’rayman"""
"""uz""";"""Taksi haydovchilaringiz zakazni qabul qilib keyin rad etishi mumkinmi."""
"""uz""";"""Assalomualeykum Yahwmsz"""
"""fr""";"""Bonjour"""
"""ur""";"""Rider a nai raha"""
"""tr""";"""Merhaba"""
"""es""";"""Buenas"""
"""uz""";"""Ассалом алейкум, ман хозир ок ранг Нексия R3, 80 V 457 AB такси билан келдим, мани оплатам карта билан эди, мандан 20 минг картамдан снимать булди, лекин шофëр сиз манга накд беришингиз керак деб, яна 20 минг накд пул олди, илтмос шуни вазиятга ойдинлик киритиб беринг. 6 май, 7.48 Уточните пожалуйста"""
"""es""";"""Hola, el taxista me canceló cuando llegó porque no quería que le pague con tarjeta Tres taxis me cancelaron"""
"""ro""";"""Pe 4 Aprilie am comandat o mașină , taximetristul a venit destul de greu, și la momentul în care a sosit, am încercat să intrăm în masina , și el a zis \"" sunteți cu copil, de ce nu ați indicat asta\"", eu i-am răspuns că aplicația nu are așa instrumente unde să bifezi că ești cu copil, și a refuzat să ne preia. Am fost nevoit să stau afara cu copilul pe vînt puternic și să aștept o altă mașină . Consider comportamentul taximetristului neadecvat"""
"""ar""";"""Assalomalekom"""
"""es""";"""Buenos días el día de ayer el cliente canceló ya que necesitaba era un carro no moto se equivocó al pedirlo y a mi me descontaron los 12 puntos por favor revisen este problema gracias 29/4/2026  Unknown, 7:24 a. m.: Buenos días el día de ayer el cliente canceló ya que necesitaba era un carro no moto se equivocó al pedirlo y a mi me descontaron los 12 puntos por favor revisen este problema gracias 29/4/2026  Unknown, 9:45 a. m.: 29/4/2026  Unknown, 7:24 a. m.: Buenos días el día de ayer el cliente canceló ya que necesitaba era un carro no moto se equivocó al pedirlo y a mi me descontaron los 12 puntos por favor revisen este problema gracias Buenos días desde temprano la ubicación de la aplicación está dando sitios equivocado acabo de llegar al sitio y ustedes me quitan 10 puntos porque no llegué al sitio y si lo ice por favor me dan respuesta gracias 4/5/2026  Unknown, 10:04 a. m.: Buenos días desde temprano la ubicación de la aplicación está dando sitios equivocado acabo de llegar al sitio y ustedes me quitan 10 puntos porque no llegué al sitio y si lo ice por favor me dan respuesta gracias"""
"""en""";"""good afternoon. attached are my unit trust application forms.<https://drive.google.com/file/d/1iw8nbyctsxalzmy58xacvovsrukrluh6/view?usp=drivesdk>namukolo ilwange.pdf<https://drive.google.com/file/d/1iw8nbyctsxalzmy58xacvovsrukrluh6/view?usp=drivesdk>[created via e-mail received from: namukoloilwange@gmail.com]"""
"""es""";"""(?) te estoy diciendo que cuando pedí el servicio aceptaron por 18 mil pesos, o sea que ahora me va a tocar tomar pantallazo de cada vez que pido un servicio porque en esta app no se puede confiar, qué pasa con los demás servicios? El que me debitaron y luego me cobraron en efectivo? Y el del 18 que me cobraron 22 mil pesos cuando era de 15 mil?"""
"""fr""";"""Bonjour le chauffeur m’a faire payer un transport que j’ai pas consommé Au lieu de 600 j’ai payé 3800f"""
"""other""";"""你好，这一笔我已经支付过现金了 是否可以查一下有没有在线支付"""
"""en""";"""Phone number 0977375228 06th May, 2026 Time was between 10 and 11 A.M Ride fare 40  PICK UP: Kunda's Family Barlastone DESTINATION: Twikatane Mall, zingalume. The phone forgotten is a Samsung Note 10 We've sent an email through Bandageorge17@gmail.com"""
"""en""";"""Good morning! I what to repot driver's behavior was unacceptable. When I went outside to get in the vehicle, he had already picked up other people and refused to take me. Furthermore, his conduct was unprofessional, and I was charged for the trip as if I had actually taken it. This type of dishonest behavior is unacceptable."""
"""az""";"""Salam. Bu gediş baş tutmayıb"""
"""en""";"""I will use this promo on 17 may"""
"""uz""";"""Raxmat sog boling"""
"""en""";"""Driver again charged full 400 instead of charging 270, why this is happening again on same return ride is it dishonesty of driver or what this is really very disappointing"""
"""es""";"""Buenas noches"""
"""uz""";"""Ассалому алейкум"""
"""es""";"""Buenas noches"""
"""uz""";"""5000 som nega yechib oldila moshina to’xtamasdan ketib qolidiku"""
"""en""";"""Hello"""
"""az""";"""taxi meni gotirmeden ozu ucun harasa gedb ve menen meblg cxlb"""
"""az""";"""Əksinə çox məyus olacaq çünki gizlində etdiyi əməli ifşa olub niyə sevinsinki"""
"""fr""";"""Le conducteur m’a bloqué parce que mon téléphone es rester dans la voiture donc il ne me Répond Plus Vole Mon téléphone es rester dans le véhicule  ma dernière commande regarde et appeler le svp Je vous parle svp"""
"""es""";"""De antemano muchas gracias"""
"""es""";"""Hola"""
"""en""";"""Yesterday  12 o clock"""
"""es""";"""Cómo hago para desactivar el pago automático"""
"""tr""";"""sürekli taksı kullanan birisiyim 2 katı fiyat oduyorum normalde bu kadar tutmazken normal tutan fıyatın uzerınde ödüyorum"""
"""uz""";"""Ассалому алекум"""
"""hy""";"""Բարև Ձեզ, վերջին իմ պատվերը բանկային քարտով էր դրված, քարտիս մեջ չկար գումար կանխիկ եմ վճարել, հիմա պարտքա ցույց տալիս  ու չեմ կարողանում փոխեմ"""
"""uz""";"""Ассалому алейкум! Бугун шу заказ буйича такси заказ килдим бориш-келиш, лекин кайтиш узгарди 1.3 км учун 27000 сум нега тариф буйича неч пул овосла???? Инфос борми 12500 га борардим хар куни 😡"""
"""hy""";"""barev dzeztsxsiste berec patvere 700dram er 1000tveci mersi aseci vercrec ija mihst chasec vor qartova ba lav xixje ura kes metr texi hsmsr indzsnic inqe edqan pox vercret 1700dram nstrc vras chgitei vor qartova exel patcere"""
"""ar""";"""Assalomalekum"""
"""hy""";"""Barev dzez erek es taxi em nstel, cardia vra gumar chkar kanxik em vcharel, bayc hima chi tuyl talis cardov vcharel, ptq e anpayman erekva 800 deam@ vcharem nor lini, xndrum em ogneq hnaravorins shut"""
"""uz""";"""Yana usha 9marta 90 ming yichganela uchun yozyapman qani meni pulim qaytarilmadi ? Oradan 1kun utti ammo hali qaytarilmadi"""
"""fr""";"""J’ai commandé un Yango le chauffeur souhaite que j’annule la course"""
"""he""";"""אפשר חשבונית על הנסיעה הזאת?"""
"""ur""";"""Why no ride is being accepted by anyone i have waiting for 2 hours Ek driver assign nhi hurha than what’s the point of the app"""
"""hy""";"""Barev dzez varorde mez texa hascrel Uxxaki ira heraxosy anjatvela wor avart ta Duq oarox eq avartel"""
"""pt""";"""esquecer telegonono carro"""
"""es""";"""Hola"""
"""fr""";"""J'ai un gros problème avec cette course. Le conducteur m'a laissé dans un quartier que je ne connais pas. Le gps s'est trompé sur la destination et le point de départ. je viens d'arriver à Abidjan et me retrouve à un endroit que je ne connais pas. Le GPS s'est trompé de destination J'ai choisi riviera 2, beautifull home et le véhicule me dépose à palmeraie"""
"""es""";"""hola !hace varios días, recibí notificaciones indicando que me llegará un paquete, reporto que no pedí nada y me dicen que alguien debió digitar mal el número.quisiera revisar que mi número no esté asociado a otra cuenta.gracias. enviado desde mi iphone[created via e-mail received from: ximerojas16@gmail.com]"""
"""en""";"""The driver wasted my 15 minutes. Can you belief? I called him, he told me he is coming. And when he was just 2 minutes away, he simply cancel the ride. What's this? He wasted so much of my time and now my salary will be deducted for being late. Who is going to compensate on that?"""
"""uz""";"""Taksi qaytim bermay ketdi nimaga Tel qilsam koʼtarmayapti"""
"""uz""";"""машинада сумкам колиб кетибди"""
"""uz""";"""Assalomu Alekum Kecha Yandex Chaqrtganidm"""
"""uz""";"""Такси заказ кисам  кемасдан бошка одамни олиб кетиб яна мандан пул ечволдилар"""
"""en""";"""My previous ride for 2,320 KZT is stuck on “Paying for previous requests.”  I have tried to complete the payment several times, but it keeps failing with an error. Because of this, I cannot request a new ride by card.  Please help me complete the payment in the app or reset/cancel the failed payment so I can continue using Yandex Go. Thank you, but this does not seem to be only a bank-side issue.  I tried several payment methods after the failed payment:  another card Google Pay  The app stays on “Checking data” when adding a card, and Google Pay also fails with an error. No authorization or charge appears on the card side.  Since multiple payment methods fail in the same way, I think the payment/card verification state may be stuck on the Yandex Go side.  Please check again."""
"""hy""";"""Varord@ shat kopiter inqn iren xosumer indz tvum er xmac e"""
"""es""";"""Buenas le yapie de más al chofer del tuk tuk"""
"""ar""";"""Salomalekum"""
"""en""";"""The driver hasn’t sent my change via mobile money"""
"""uz""";"""Assalomu alaykum,Hozrgi menga kelmoqchi bo'lgan matiz manzilga kelmadi,lekin Yandex go da meni manzilim yonini ko'rsatib turibdi.Moshinani o'zi yo'q,Lekin kutish rejimini yoqib mendan 7000 so'm pul qirqib oldi.Shuni ko'rib bering"""
"""uz""";"""Shu taksi naqd ham plastikdan toʻlangan shofyorni topib pulni qaytarishga yordam beringlar"""
"""es""";"""Porque no puedo hacer viajes Por qué no resivo pedidos Porque no puede resivir viajes Porque no puedo realizar pedido Porque no puedo recibir pedidos ??"""
"""es""";"""Se le pagó en efectivo de casualidad, pues salía que estaba vinculado la cuenta con Yape, quiero una devolución"""
"""fr""";"""J'aimerais savoir si ma dernière course, coûtait réellement 300f où c'est un bug de l'application,"""
"""sr""";"""Uspela sam da dodam novu karticu, ali i dalje ne mogu da obrišem 2 stare - nevažeće, koje  prave zabunu u aplikaciji. Kada očekujete rešenje ovog problema?"""
"""fr""";"""Bonjour Yango ne plus m'envoyer ce chauffeur irrespectueux pas professionnel"""
"""ur""";"""Sir hamara parcel ab tak destination pr ni pahncha hai Rider phone is off How do I get my parcel again Rider is not responding his phone is switched off"""
"""en""";"""Hi, this car came close to the location, but not closer than 150 meters and while I was walking in the rain to reach him, he started the ride and left. Terrible seevice"""
"""en""";"""I called to the driver but ,still I can not get my ride report, which means the issue is not solved, please contact the driver as an organization."""
"""uz""";"""Assalomu alaykum men bugun taxi buyurtma qilgan edim oxirgi buyurtmam haqida haydovchi buyurtmani qabul qilib boshqa tomonga ketdi bunday holat oldin ham boshqa haydovchi bilan sodir bolgan edi men haydovchi bilqn boğlanishga urundim lekin javob bermadi haydovchi ustidan qattiq chora korishingizni sorayman"""
"""uz""";"""Men pulni haydovchini kartasiga utqazib berdim boshqa kartamdan"""
"""fr""";"""Bonjour J’ai eu un soucis avec ma course"""
"""es""";"""Buenas noches"""
"""en""";"""These numbers are not working. We tried calling the numbers given here."""
"""en""";"""Hi can you please refund me money driver drove away"""
"""uz""";"""Assalomu aleykum"""
"""es""";"""Este servicio decía que se demoraba 5 minutos, tardo más de 10 minutos Y nunca llego   Lo vi a una cuadra estacionado, y cuando le escribí que si se demoraba, apagó la ubicación y no canceló el servicio . Desactivó las llamadas y el chat"""
"""uz""";"""Arzon bòlsin"""
"""es""";"""El conductor llegó al punto de recogida y se negó a llevarme, él canceló el viaje"""
"""en""";"""Hi I accidentally booked a ride, that's cancelled right? No I accidentally booked a ride That's cancelled right?"""
"""ar""";"""Assalam alaikum"""
"""uz""";"""Assalomu alaykum shu taksida buyimim qolib ketmabdimi aniqlab berasizmi"""
"""az""";"""Salam  bu sürücü meni aldatdi"""
"""uz""";"""Rahmat"""
"""uz""";"""Haydovchiga qanday chora ko‘rilgani bo‘yicha ma’lumot berasizmi? Kutaman, rahmat"""
"""other""";"""Varody ajidanya miacrec zangeci chekav gumar chgandzeq"""
"""uz""";""", ассалому алайкум кеча мани телефоним колиб кетган шу таксида,илтимос  боглаб беринг"""
"""uz""";"""oka 700275454 ga qivorin narsamiz qop ketipti"""
"""es""";"""Hola me podrían ayudar, cuando trato de ingresar a la cuenta Yango con mi número de celular +57 3168704626, no me da ingreso y afirma que la cuenta no está disponible por motivos de seguridad como se aprecia en la imagen compartida.    *🇨🇴 Daniel Francisco Ochoa Morón* *Desarrollador Fullstack,* *Ingeniero Electrónico (Universidad Distrital Francisco José de Caldas)* *MSc. en Ingeniería - Automatización Industrial (Universidad Nacional de Colombia)*  [Created via e-mail received from: dfom89@gmail.com]"""
"""es""";"""Buenas me acaban de cobrar por un viaje q nunca llege a embarcar El chófer no me recogió y sigo si ruta como si me ubiera recogido Y ya me cobraron del yape"""
"""ka""";"""გამარჯობა! რატომღაც თანხა ჩამომეჭრა  და ტაქსიც არ მოსულა, თანხა ჩამომეჭრა 3.50 იაკობ ნიკოლაძის 10 კრწანის ქუჩა. მძღოლთან ვრეკავდი, არ მიპასუხა. ძალიან გართულებულია თქვენთან დაკავშირება. გთხოვთ, ჩამოჭრილი თანხის დაბრუნებას!!!"""
"""en""";"""There was a charge of 3476 dinars, but I don't know the details of the charge. My ride-hailing order doesn't include this transaction."""
"""uz""";"""Assalomu aleykum bu zakazga kartadan pul 2 marta olingan"""
"""tr""";"""Sürücü çalışmadığını iletti ben de iptal ettim niye benden ücret kesiliyor? Sonuç?"""
"""es""";"""El conductor empezó el viaje sin mi"""
"""uz""";"""Assalomu"""
"""en""";"""Kindly improve your GPS"""
"""uz""";"""Yòq atayin qilgani yòq Menda buyurtma vaqti naqt pulda tòlash edi"""
"""en""";"""Thank you. Your service is very quick."""
"""en""";"""Hello I was charged when the driver stood in wrong location"""
"""hy""";"""mez hamar ktaq zangenq"""
"""en""";"""Hello"""
"""es""";"""Perdí un zapatito En el taxi que tome hace un rato"""
"""es""";"""Buen día  Recientemente cambié mi equipo celular y ahora no me permite acceder a mi cuenta Yango.  Mi número vinculado es 3183722602 a nombre de Nicolás Burbano Bastidas.  Agradezco su atención y colaboración.  [Created via e-mail received from: bastidas.catalina@gmail.com]"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Cristhoper Gomez  Tipo de Documento de Identidad:: DNI  Número de Documento: 74174466  Teléfono: 981520623  Correo Electrónico: crsth.2018@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Queja (Disconformidad no relacionada con los servicios)  Detalle del Producto o Servicio: En el último viaje, el conductor fue por el peaje, a pesar de que se indicó por la aplicación que no fuera por el peaje.  Detalle de la Reclamación o Queja: El conductor fue por 2 peajes, se asumió el pago del primer peaje pero el segundo no, ya que no fue por decisión mía, sino la del conductor.   Fecha de Envío: 2026-05-02"""
"""es""";"""Buenas noches"""
"""en""";"""Such a pathetic driver my head got hurt badly and he didn't appolohise me revertly bad behaviour"""
"""es""";"""Hola quisiera reportar a este codcutor"""
"""uz""";"""валейкум ассалом"""
"""uz""";"""Haydovchilarni sifatlisidan tanlasangizchi"""
"""es""";"""Buenas quisiera reportar a mi último viaje que hice Mandé a mi hermano en tango y lo mando a otro lado y aparte le cobro cosa que no era ahí Porfavor tomar cartas en el asusnto"""
"""az""";"""Salam taksi çatandan sonra mənə yazır ki maşında problem var gedə bilmirəm ama çatma vurub"""
"""fr""";"""Bonjour, j’ai un souci avec cette course"""
"""es""";"""Buenss noches"""
"""fr""";"""Le chauffeur m’a demandé plus d’argent que prévu"""
"""uz""";"""Nme kutmasdan yoforadi ketvoradi kurish kerekuuu"""
"""ur""";"""I tried multiple times Plz ap baat kry unse"""
"""ro""";"""Bună ziua"""
"""es""";"""Buenas tardes Buenas tardes Buen dia 11683909 número de pedido  Este cliente al final se fue sin pagarme el viaje Buenos dias Buen día"""
"""ne""";"""Hello Mero bata ride book garnae mildaenaa Kina holaa? Please solve it I cant get ride Fix this issue"""
"""uz""";"""Салом"""
"""hy""";"""Բարև Ձեզ ուցում եմ հասկանամ ինչքան պետքա Ձեր վարորդին սպասեմ երբ ինքը 2 փողոց հեռուա գնացել ու նշել որ տեղումա ու ասումա որ դու քենսլ արա ինձնից գումար գանձի"""
"""en""";"""Yesterday i booked ride the fare was 175 bt captain charged me 199in ehich l8 chatges include although when captain came soonly i picked the call plz justify my issue"""
"""ro""";"""Mulțumesc !"""
"""ar""";"""المبلغ م رجع ؟"""
"""en""";"""Plz Teach your Rider about the promo code"""
"""fr""";"""Bonsoir monsieur voici le second numéro celui de ma mère  dont je vous parlais sur mon 0162906941 pour le yang qui a pris 2500 au lieu de 2000f"""
"""hy""";"""Եսնորիշ համարով եմ ձեզ զանգում Գյումրիից եմ ես"""
"""fr""";"""Il a fait payer en cash encore alors que vous avez deduit ma carte"""
"""es""";"""Cuando lo pedí vali 20.300"""
"""es""";"""Hola buenos días No Quiero solo hacer un reclamo pero no encuentro la forma Como hacerlo"""
"""en""";"""He says i am here and look where he is is this a joke ?"""
"""en""";"""Driver went without me and it is charged my account"""
"""ka""";"""კომფორტს რო ვიძახებ არ უნდა გადამხვდეს ასეთი სერვისი"""
"""en""";"""Good morning team... I wasn't picked by this driver but he decided to start the ride and ended it.... I need a total  refund please ... Thank you."""
"""ka""";"""ტაქსმა მოლოდინის რეჟიმი ჩართო და არც მოსულა ადგოლზე"""
"""fr""";"""Bonjour M"""
"""hy""";"""Inch e sa?. Inch partq e? Hima chem karoxanum taxi patvirem ayl taxi tsarayutyunic ogtvem?"""
"""uz""";"""haydovchi bn gaplaship oldm haydovchi kartamfa tashlab beradigan boldi"""
"""en""";"""Now what u will get me my money back or no I can easly rese a complan in the raght athourety in my country and they deal with u gais I dont understand why u do like this"""
"""en""";"""This driver started a ride without me so I had to cancel it need a refund"""
"""es""";"""Me cobraron el doble"""
"""uz""";"""Assalom aleykem bugun 16:58 da chaqirgan taksi bizni oxirgi manzilga ob kelmadi yoʻlni baxona qilib manzilni oxirigacha ob kelib quymadi"""
"""ur""";"""Aslam o alaikum sir ye banda pick up location pay b ni aya or ride b start kar d .na e mujy pick kiya isnay"""
"""es""";"""Se cobro más de lo que había arrojado el sistema"""
"""en""";"""hello, i just took this carpool ride, the driver was extremely rude!! he kept shouting at me and saying do you think its economy cab why did you book such a big ride and it wasn’t even a big ride!!! I NEED MY REFUND!!"""
"""fr""";"""Bonjour Monsieur Madame, Je veux plus jamais avoir affaire à ce conducteur"""
"""es""";"""Tengo más. De 10 minutos esperando"""
"""uz""";"""Кутаман ва Яндекс масаланинг охирига етишига мажбур,  истеъмолчи ҳуқуқини поймол қилишга ҳеч бир таксистнинг ҳаққи йўқ"""
"""ka""";"""გამარჯობა თანხა ბარათიდან არ ჩამომეჭრა, ახლა რომ შევხედე ქეში ეწერა"""
"""en""";"""The rider’s behavior was very disappointing. He arrived late, and I had to wait around 10 minutes even though he was 3 minutes away. He was also not at the correct pickup location, and when I called to guide him, he responded in a cold and rude manner. Throughout the ride, he was continuously talking on the phone, which made the experience uncomfortable. I hope not to be matched with a driver like this again."""
"""en""";"""Hello Hello"""
"""es""";"""Buenas noches el conductor no llegó nunca al punto de encuentro y fuera de eso me salio que si cancelaba el servicio me cobrarían cuando fue el conductor quien no se dirigió al punto de encuentro"""
"""fr""";"""Bonjour, j'ai pris un véhicule suziki bleu expresso le lundi , c'était le dernier yango emprunté dans la journée  Le chauffeur n'est pas du tout respectueux  Il passait son temps à insulter les autres conducteurs avec de vilaines injures sans tenir compte de moi Lorsqu'il est venu me chercher, il a dépassé mon endroit,je lui est simplement signifié et il a haussé le ton sur moi, j'étais pressée sinon j'allais annuler mais je suis allée vers lui Pas d'excuses au contraire, tout le trajet il a passé son temps a insulter autour de lui Ça m'a marqué,"""
"""ka""";"""კარგად"""
"""hy""";"""Barev dzez 4 hogu chtarav taxisty ijanq u poxnel gandzela"""
"""ka""";"""gamarjoba"""
"""en""";"""The ride started without me and cancelled mid way???"""
"""es""";"""El día de ayer se me quedó una bolsa con una tarea de la niña y hasta ahorita me di cuenta"""
"""es""";"""El conductor cambio de ruta"""
"""es""";"""Buenas noches Donde me puedo conectar con soportes"""
"""es""";"""Joven buenos días un favor tome la carrera de cahuide a UTP"""
"""uz""";"""Menga ulangan plus obunasini zudluk bilan uchirishlaringni talab qilaman Xar oy pul yechilgan men bilmaganamn"""
"""uz""";"""Lakatsani togrlash mollat"""
"""ka""";""":))) 2 ლარიანი ფასდაკლების კოდი თქვენთვის დაიტოვეთ და GPS გამართეთ, სხვა მისამართზე რომ მომიწია ჩამოსვლა, წვიმაში თან. მძღოლის მისამართით კი არ უნდა გატარდეს ზომები, თქვენი კომპანიის მუშაობის ხარისხს და კლიენტებთან მიდგომის პოლიტიკას უნდა გადახედოთ."""
"""fr""";"""Bonjour , désolé du dérangement mais effectuez une livraison se matin mais mon client na pas reçu son colis J'ai pas eu d'accident"""
"""uz""";"""zakazim otmen bolib ketimi"""
"""hy""";"""Բարև Պայմանագիր №45336912/25 96e5b8d18e33465c9808f44669f21d12 LIVECHEF LLC"""
"""uz""";"""Pulni kartadan ham yechpsizlar Naxtam oldila"""
"""fr""";"""Bonjour Je n’arrive pas faire de commande livraison moto D’accord"""
"""tr""";"""Ben bu araca binmedim ve yolculuk bitti gözüküyor"""
"""ka""";"""გამარჯობა"""
"""fr""";"""Bonjour, C’était pour signaler une perte"""
"""ka""";"""მადლობა მაგრამ 2 ლარით მინაზღაურებთ დროს და 6 ლარს? ძალიან გთხოვთ გადახედეთ ამ შემთხვევას"""
"""es""";"""Muchas gracias"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Gino Bobbio Labarthe   Domicilio:: Calle 30 N°184   Tipo de Documento de Identidad:: DNI  Número de Documento: 07733254  Teléfono: 981942687  Correo Electrónico: ginobobbio@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Reclamo (Disconformidad relacionada con los productos o servicios)  Detalle del Producto o Servicio: Soy un adulto mayor y al parecer solicité un viaje, debo de haberlo habilitado involuntariamente. Al respecto, el chofer me envió un mensaje indicando que está a la espera. Le contesté que al parecer no lo había solicitado. Sin embargo, mediante mensaje me ha respondido en forma malcriada y sin respeto. Por favor, dispongan las medidas correctivas e informarme el resultado.   Detalle de la Reclamación o Queja: Soy un adulto mayor y al parecer solicité un viaje, debo de haberlo habilitado involuntariamente. Al respecto, el chofer me envió un mensaje indicando que está a la espera. Le contesté que al parecer no lo había solicitado. Sin embargo, mediante mensaje me ha respondido en forma malcriada y sin respeto. Por favor, dispongan las medidas correctivas e informarme el resultado  Fecha de Envío: 2026-05-06"""
"""uz""";"""taksilarizga shuncha pul berommiz moshinnani yaxshi yuridigan qilsan 20minutli yulga 1soatga olib keldi sekin"""
"""es""";"""Buen día"""
"""es""";"""Necesito que me hagan la devolución porque el chófer nunca llegó al destino y canceló encima puso como que llegó y me estába cobrando por la tardanza pero el chófer nunca llegó al punto nunca y sólo canceló"""
"""fr""";"""Bonjour"""
"""es""";"""Hola El señor del servicio me dice que debo pagarle más porque son dos asiento Es así?"""
"""az""";"""Salam. Bu taksi gəldi səhv yerdə saxladı və saxladığı yerə gedə bilmirdim çünki maşın yolu idi hər tərəf zəng etdim sərt tonla danışdı amma mən hardan vurdugumnan əmin idim çünki( bunu ləğv etdim danışıq tərzinə görə həm günahkardı həm kobud) başqa sürücü çağırdım o məni olduğum nöqtəyə düz gəldi götürdü boşuna məndən pul çıxıldı. Zəhmət olmasa onu geri ödəyin"""
"""ka""";"""გამარჯობა"""
"""pt""";"""Olá, bom dia"""
"""uz""";"""Assalom aleykum"""
